Mode,Line,Trip purpose: Home-based work,Trip purpose: Home-based school,Trip purpose: Home-based social activity,Trip purpose: Home-based other,Trip purpose: Non-home-based,Count: Trip purpose,Trip frequency: 6-7 days a week,Trip frequency: 5 days a week,Trip frequency: 3-4 days a week,Trip frequency: 1-2 days a week,Trip frequency: 1-3 days a month,Trip frequency: Less than once a month,Count: Trip frequency,Fare: Monthly pass,Fare: Pay-per-ride,Fare: 1-day or 7-day LinkPass,Fare: Other,Count: Fare,Monthly pass type: Reduced-fare pass,Monthly pass type: Local Bus,Monthly pass type: LinkPass or Express Bus,Monthly pass type: Commuter rail or ferry,Count: Monthly pass type,Pay-per-ride type: Full cash fare on board,Pay-per-ride type: Reduced fare,Pay-per-ride type: mTicket (single/multi-ride),Pay-per-ride type: CharlieCard (plastic),Pay-per-ride type: CharlieTicket (paper),Count: Pay-per-ride type,Access to first MBTA service: Walked or bicycled,Access to first MBTA service: Drove alone,Access to first MBTA service: Carpooled,Access to first MBTA service: Dropped off by personal vehicle,Access to first MBTA service: Dropped off by other vehicle,Count: Access to first MBTA service,Previous transit mode: Bus or Silver Line,Previous transit mode: Rail rapid transit,Previous transit mode: Commuter rail or ferry,Count: Previous transit mode,Use alternative modes: Yes,Use alternative modes: No,Count: Use alternative modes,Alternative modes: Walk,Alternative modes: Bicycle,Alternative modes: Drive alone,Alternative modes: Drive or ride in a carpool,Alternative modes: Take a taxi or use a rideshare company,Alternative modes: Take a private shuttle or other transit,Alternative modes: Take a different MBTA service,Alternative modes: Other,Count: Alternative modes,Usable household vehicles: 0,Usable household vehicles: 1,Usable household vehicles: 2,Usable household vehicles: 3 or more,Count: Usable household vehicles,Vehicles per capita: None,Vehicles per capita: 0.01-0.49,Vehicles per capita: 0.50-0.99,Vehicles per capita: 1.00-1.49,Vehicles per capita: 1.50-1.99,Vehicles per capita: 2 or more,Count: Vehicles per capita,Valid driver's license: Yes,Valid driver's license: No,Count: Valid driver's license,"Household income: Less than $14,500","Household income: $14,500 to $28,999","Household income: $29,000 to $43,499","Household income: $43,500 to $57,999","Household income: $58,000 to $75,999","Household income: $76,000 to $108,499","Household income: $108,500 to $151,999","Household income: $152,000 or more",Household income: Prefer not to say,Count: Household income,Low-income classification: Yes,Low-income classification: No,Count: Low-income classification,Race: American Indian or Alaska Native,Race: Asian,Race: Black or African American,Race: Native Hawaiian or other Pacific Islander,Race: White,Race: Other,Race: Prefer not to say,Count: Race,Hispanic or Latino/Latina: Yes,Hispanic or Latino/Latina: No,Hispanic or Latino/Latina: Prefer not to say,Count: Hispanic or Latino/Latina,Minority classification: Yes,Minority classification: No,Count: Minority classification,Age: Under 18,Age: 18 to 21,Age: 22 to 34,Age: 35 to 44,Age: 45 to 64,Age: 65 or over,Count: Age,Gender: Man,Gender: Woman,Gender: Other,Gender: Prefer not to say,Count: Gender,Ability to understand English: Always,Ability to understand English: Often,Ability to understand English: Sometimes,Ability to understand English: Never,Ability to understand English: Prefer not to say,Count: Ability to understand English
Bus,1,0.649304284,0.094745514,0.066367631,0.087696814,0.101885756,844,0.143855875,0.459442502,0.164739625,0.076543874,0.053329748,0.102088375,862,0.775983585,0.191720939,0.025425997,0.006958694,866,0.118992872,0.056564728,0.79466544,0.02977696,672,0.024197301,0.084690554,0,0.879478827,0.012098651,166,0.980869049,0.001927925,0,0.003855851,0.013495477,521,0.349709692,0.644484145,0.005806163,346,0.716949001,0.283050999,862,0.33874418,0.188876306,0.11727696,0.084686045,0.231282245,0.06518183,0.570026425,0.00654335,614,0.480003636,0.402381385,0.089438284,0.028267588,850,0.470554819,0.137284605,0.267184245,0.12497633,0,0,816,0.780395343,0.219604657,856,0.104018265,0.085114155,0.104018265,0.101643836,0.118173516,0.108767123,0.094520548,0.148949772,0.134794521,846,0.33878628,0.66121372,732,0.016412768,0.098567283,0.140823359,0,0.683079434,0.070457018,0.053953573,852,0.095426885,0.856813572,0.047759543,838,0.366939509,0.633060491,774,0.004704179,0.035100416,0.531572282,0.142844219,0.2248055,0.060882938,854,0.345789331,0.63317989,0.002346782,0.018683997,856,0.964978789,0.016337215,0.009387129,0.002346782,0.007040347,856
Bus,4,0.904069767,0.00872093,0.00872093,0.026162791,0.046511628,212,0.026809651,0.72922252,0.147453083,0.034852547,0.008042895,0.050938338,230,0.851963746,0.126888218,0.018126888,0,204,0.031914894,0.010638298,0.319148936,0.631205674,174,0.142857143,0.142857143,0,0.69047619,0,26,0.983870968,0,0,0,0.016129032,115,0.122093023,0.168604651,0.703488372,106,0.580645161,0.419354839,210,0.105990783,0.046082949,0.239631336,0.119815668,0.147465438,0.087557604,0.580645161,0,134,0.141689373,0.343324251,0.36239782,0.14986376,226,0.141210375,0.158501441,0.317002882,0.354466859,0.017291066,0.008645533,214,0.902702703,0.097297297,228,0.016949153,0,0.036723164,0.064971751,0.118644068,0.110169492,0.138418079,0.274011299,0.237288136,218,0.07063197,0.92936803,166,0,0.028011204,0.036414566,0.008403361,0.826330532,0.06442577,0.081232493,220,0.066282421,0.870317003,0.066282421,214,0.135048232,0.864951768,192,0.008264463,0.016528926,0.278236915,0.214876033,0.374655647,0.107438017,224,0.289189189,0.675675676,0,0.035135135,228,0.972972973,0.016216216,0.008108108,0,0,228
Bus,7,0.92377451,0.009068627,0.009068627,0.039460784,0.018382353,654,0.075090253,0.732851986,0.117208183,0.048134777,0.012033694,0.014921781,666,0.696387216,0.277443261,0.014358499,0.011579435,692,0.020285999,0.44828733,0.493515131,0.037246425,482,0.010016694,0.020868114,0,0.948247078,0.020868114,192,0.994899329,0.001610738,0,0.001610738,0.001610738,597,0.162011173,0.685288641,0.150837989,86,0.567065722,0.432934278,656,0.481160676,0.124296232,0.172802079,0.086617583,0.475530533,0.043308792,0.340407103,0,370,0.19346247,0.601210654,0.181355932,0.024213075,662,0.189103347,0.173711214,0.298802834,0.32934278,0.006107989,0.002931835,656,0.942615012,0.057384988,662,0.002931835,0.006107989,0.03957977,0.091375519,0.106767652,0.179819204,0.198143171,0.237722942,0.137307598,656,0.056641178,0.943642028,566,0.006107989,0.027363792,0.015147813,0,0.862692402,0.018323968,0.073051551,656,0.036982249,0.889053254,0.073717949,650,0.0877098,0.912019491,592,0.002905569,0.002905569,0.613317191,0.196368039,0.157142857,0.027118644,662,0.361753959,0.626309379,0,0.012180268,658,0.987784022,0.006107989,0,0.002931835,0.002931835,656
Bus,8,0.689330922,0.090777577,0.02278481,0.113562387,0.083544304,264,0.12766678,0.609888249,0.106332543,0.056891297,0.035557061,0.064002709,282,0.797328881,0.153923205,0.035058431,0.014023372,286,0.149497487,0.149078727,0.535175879,0.166666667,228,0.227765727,0.091106291,0,0.681127983,0,44,0.955287009,0.012688822,0,0.006042296,0.024773414,158,0.386837881,0.454253612,0.159711075,119,0.681400283,0.318599717,270,0.236652977,0.064681725,0.161190965,0.128850103,0.215092402,0.107289528,0.63449692,0,186,0.38852628,0.366884232,0.201305393,0.043284095,278,0.392214469,0.246052148,0.238340066,0.115313992,0.007712082,0,260,0.719340433,0.280659567,278,0.079010649,0.086224665,0.136722776,0.143936791,0.122294744,0.093438681,0.064926142,0.064926142,0.208519409,278,0.381944444,0.618055556,220,0.014428032,0.100652697,0.287873583,0,0.453452422,0.107866712,0.071796633,278,0.119344496,0.805842537,0.074456715,268,0.540238737,0.459761263,248,0.035557061,0.056891297,0.305113444,0.184558077,0.340331866,0.077886895,282,0.255333559,0.737555029,0,0.007111412,282,0.929224517,0.035557061,0.028445648,0,0.007111412,282
Bus,9,0.785210597,0.022298456,0.077758719,0.100057176,0.014865638,540,0.08008982,0.581773952,0.12369012,0.116392216,0.050898204,0.047342814,550,0.687511167,0.288190102,0.020725389,0.003394676,576,0.095893971,0.217255717,0.676715177,0.010135135,396,0.011779293,0.060136392,0,0.86732796,0.060136392,166,0.995028586,0,0,0,0.004971414,414,0.234527687,0.766123779,0,158,0.631361502,0.368638498,548,0.286488113,0.093590129,0.198916642,0.117062895,0.415287391,0.029190491,0.432741499,0.005717725,342,0.27464656,0.556833176,0.139114043,0.029217719,546,0.267138087,0.202317816,0.263406011,0.259477509,0,0.007660577,524,0.894461078,0.105538922,550,0.036700719,0.040484298,0.055051078,0.058834658,0.139614075,0.183881952,0.176503973,0.172720393,0.136019675,544,0.153273484,0.846726516,470,0,0.044406327,0.018486754,0,0.870402135,0.018486754,0.059271965,540,0.044738863,0.895545315,0.059715822,536,0.111521115,0.888273883,502,0.010892019,0.018215962,0.605821596,0.175211268,0.127699531,0.061971831,548,0.302910798,0.693333333,0,0.003568075,548,0.9742723,0.014647887,0.003568075,0,0.007323944,548
Bus,11,0.857194767,0.024709302,0.044331395,0.059593023,0.014898256,406,0.06301468,0.660221984,0.165055496,0.053347655,0.024346581,0.034013605,412,0.803860738,0.182350913,0.014133058,0,428,0.063893654,0.191680961,0.721269297,0.023156089,344,0,0.052930057,0,0.896030246,0.051039698,78,0.989717224,0,0,0.003598972,0.007197943,287,0.135405105,0.842397336,0.022197558,133,0.615915698,0.384084302,406,0.362879239,0.064247472,0.080904224,0.096966092,0.346817371,0.024390244,0.612730518,0.008328376,248,0.303797468,0.475587703,0.171428571,0.049186257,408,0.311253293,0.112156568,0.280767783,0.295822356,0,0,392,0.873335732,0.126664268,410,0.029294756,0.024593128,0.044122966,0.11283906,0.107775769,0.147197107,0.156962025,0.245207957,0.132368897,408,0.112963735,0.887036265,354,0,0.029583638,0.014974434,0,0.891161432,0.024835646,0.03944485,404,0.039837698,0.915160457,0.045001844,400,0.088837389,0.911162611,382,0.005037783,0.009715725,0.580424613,0.126664268,0.214465635,0.063332134,410,0.331774019,0.668225981,0,0,410,0.994962217,0.005037783,0,0,0,410
Bus,14,N/A,N/A,N/A,N/A,N/A,68,N/A,N/A,N/A,N/A,N/A,N/A,84,N/A,N/A,N/A,N/A,84,N/A,N/A,N/A,N/A,54,N/A,N/A,N/A,N/A,N/A,20,1,0,0,0,0,57,0.826086957,0.130434783,0.043478261,23,N/A,N/A,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58,N/A,N/A,N/A,N/A,82,N/A,N/A,N/A,N/A,N/A,N/A,72,N/A,N/A,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,N/A,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82,N/A,N/A,N/A,80,0.864724246,0.135275754,74,N/A,N/A,N/A,N/A,N/A,N/A,82,N/A,N/A,N/A,N/A,84,0.90467461,0.023831347,0.047662695,0,0.023831347,84
Bus,15,0.680031141,0.106656286,0.053328143,0.093616193,0.066757493,150,0.235273914,0.505924781,0.15301391,0.047054783,0.058904345,0,170,0.734963067,0.204889202,0.060323602,0,166,0.311797081,0.049294089,0.606604451,0.032782962,122,0.059227468,0.236051502,0,0.705579399,0,34,0.979102643,0,0,0,0.020897357,95,0.479029605,0.506990132,0.013980263,71,0.719473122,0.280526878,164,0.327629592,0.103422245,0.103422245,0.103422245,0.241318571,0.05183694,0.5,0.017362859,116,0.5,0.353684585,0.121929512,0.024385902,164,0.465706859,0.342531494,0.150769846,0.027394521,0,0.013797241,146,0.5,0.5,164,0.234636872,0.160569472,0.111191206,0.135880339,0.0740674,0.012434673,0.024689133,0,0.246891332,162,0.672170376,0.327829624,122,0.036667853,0.048771805,0.451228195,0.012281951,0.256140975,0.158597366,0.09754361,164,0.226741923,0.720124562,0.053328143,150,0.75344931,0.24655069,146,0.073157707,0.048771805,0.317016732,0.134211463,0.329298683,0.09754361,164,0.277172001,0.698909603,0,0.024094267,166,0.91367814,0.037123806,0.049378266,0,0,162
Bus,16,0.747118644,0.084293785,0,0.120677966,0.048135593,166,0.152089704,0.576146789,0.119469929,0.087054027,0.021814475,0.043425076,184,0.608766565,0.206523955,0.173904179,0.010805301,184,0.160750167,0.053583389,0.767916946,0.017749498,112,0.052319842,0.052319842,0,0.894373149,0,38,0.970866715,0,0,0,0.029133285,103,0.346320346,0.654160654,0,78,0.693094629,0.306905371,176,0.295202952,0.098400984,0.131303813,0.180196802,0.311500615,0.065498155,0.459102091,0,122,0.511254689,0.366611088,0.122134223,0,180,0.494011299,0.313220339,0.108474576,0.084293785,0,0,166,0.549464138,0.450535862,182,0.068201194,0.158994032,0.204603581,0.158994032,0.10230179,0.091005968,0.056905371,0.022804774,0.136402387,176,0.5,0.5,152,0.068201194,0.045396419,0.443094629,0,0.295396419,0.14769821,0.068201194,176,0.146386093,0.78042086,0.073193047,164,0.740316687,0.259683313,154,0.042960871,0.064542154,0.365671642,0.17204518,0.301129488,0.05385236,186,0.318201194,0.658994032,0,0.022804774,176,0.955606503,0.011046269,0.022300959,0.011046269,0,180
Bus,17,N/A,N/A,N/A,N/A,N/A,106,0.175309468,0.631649381,0.070257611,0.035128806,0.070257611,0.017397123,114,0.633184997,0.216783217,0.149713922,0,120,0.157630522,0.052710843,0.710843373,0.078815261,76,0,0.082670906,0,0.750397456,0.166931638,24,1,0,0,0,0,62,0.151187905,0.849532037,0,53,N/A,N/A,112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64,0.525210084,0.305106658,0.118616677,0.050743374,118,N/A,N/A,N/A,N/A,N/A,N/A,110,0.551792174,0.448207826,116,0.107288828,0.214237057,0.232288828,0.196525886,0.053474114,0,0,0,0.196525886,112,0.688559322,0.311016949,90,0.018030513,0.036407767,0.509015257,0,0.236477115,0.200069348,0.036407767,110,0.240904274,0.72235959,0.037089368,108,0.775398988,0.224601012,98,N/A,N/A,N/A,N/A,N/A,N/A,118,0.321913381,0.677763413,0,0,118,0.928814714,0.053474114,0.017711172,0,0,112
